image_name,diameter,cellprob_threshold,flow_threshold,raw_image_dice_binary,raw_image_iou_binary,raw_n_pred_instances,raw_n_gt_instances,post_image_dice_binary,post_image_iou_binary,post_n_pred_instances,post_n_gt_instances,out_dir
jw-15min 5_c1,70,2.0,0.5,0.7463243541137602,0.5953089673255746,66,37,0.7460732151135034,0.5949894556092737,66,37,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-15min 5_c1/d70_cp2.0_ft0.5
jw-1h 1_c1,40,-2.0,0.3,0.6472703178354616,0.4784919902103037,65,36,0.6472042772484248,0.47841981340095946,65,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp-2.0_ft0.3
jw-1h 1_c1,40,-2.0,0.5,0.6916604046784577,0.528655103882622,81,36,0.6916011406360297,0.5285858633140555,82,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp-2.0_ft0.5
jw-1h 1_c1,40,0.0,0.3,0.678662956939218,0.5136183538509934,70,36,0.6782926218732659,0.5131942463956093,69,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp0.0_ft0.3
jw-1h 1_c1,40,0.0,0.5,0.7061546635540519,0.545779811282376,83,36,0.7057989668738165,0.5453549709885,83,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp0.0_ft0.5
jw-1h 1_c1,40,2.0,0.3,0.6875444605828676,0.523861144194042,70,36,0.6875149308913031,0.5238268587376705,70,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp2.0_ft0.3
jw-1h 1_c1,40,2.0,0.5,0.6998510306429291,0.5382852635640732,76,36,0.6998087084656797,0.538235191253938,76,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d40_cp2.0_ft0.5
jw-1h 1_c1,55,-2.0,0.3,0.7202871946783898,0.5628506581188513,66,36,0.7202187669204838,0.5627670951131495,66,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp-2.0_ft0.3
jw-1h 1_c1,55,-2.0,0.5,0.7163190949430795,0.5580195920350757,78,36,0.7162481660326464,0.5579335094845604,78,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp-2.0_ft0.5
jw-1h 1_c1,55,0.0,0.3,0.7380131327925755,0.5848025458661712,73,36,0.7377791525499539,0.5845087680499211,73,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp0.0_ft0.3
jw-1h 1_c1,55,0.0,0.5,0.7366948987300366,0.5831488355342339,78,36,0.7364500813493068,0.5828420947038955,78,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp0.0_ft0.5
jw-1h 1_c1,55,2.0,0.3,0.7238791127866162,0.5672496391523872,73,36,0.7238365152282082,0.5671973253157665,73,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp2.0_ft0.3
jw-1h 1_c1,55,2.0,0.5,0.7275266440911138,0.5717421435291785,76,36,0.7274889703849111,0.5716956108466605,76,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d55_cp2.0_ft0.5
jw-1h 1_c1,70,-2.0,0.3,0.7374411410234031,0.5840845642801611,59,36,0.7373791840528805,0.5840068330409682,59,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d70_cp-2.0_ft0.3
jw-1h 1_c1,70,-2.0,0.5,0.7216479767197315,0.5645142836853131,80,36,0.7215831103697481,0.5644349008705969,80,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d70_cp-2.0_ft0.5
jw-1h 1_c1,70,0.0,0.3,0.7430101942904673,0.5911028004487757,69,36,0.7428084927591516,0.5908475267935825,69,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d70_cp0.0_ft0.3
jw-1h 1_c1,70,0.0,0.5,0.7420676196288141,0.5899105796210187,80,36,0.7418297351371648,0.5896099723975263,80,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d70_cp0.0_ft0.5
jw-1h 1_c1,70,2.0,0.3,0.7355107695013975,0.5816662979497083,70,36,0.7354232219890084,0.5815567981136976,70,36,/Users/sorro/workspace/02604/project/project_cellpose-main/results_bbbc020/jw-1h 1_c1/d70_cp2.0_ft0.3
